"","species mix","species 1","species 2","species 3","species 4","species 5","species 6","species 7","species 8","species 9","species 10","species 11","species 12","species 13","sepcies 14","species 15","ground leaves","total"
"2","ML.7316.rep1","CAMROT","ZIZAUR","ECHPUR","DESILL","ANECYL","PHYVIR","OENPIL","SILLAC","PYCTEN","ZIZAPT","HYPPUN","ASCSYR","OLIRIG","CXBLAN","AGANEP","GL","Total B"
"368","LL.567931.rep2","SISANG","PYCVIR","PYCTEN","CXBICK","CXNORM","VERMIS","CXANNE","CXMOLE","EUPCOR","RUDHIR","VERSTR","DODMEA","PENDIG","RUEHUM","BLECIL","GL","Total B"
"369","","2.5","0","0","0","49.2","0","0","0","0","6","0","0","21.1","0","0","0","78.8"
"373","LL.660073.rep2","SCHSCO","CORPAL","ASTCAN","CAMROT","CXBREV","CXBICK","ERYYUC","DESILL","PANVIR","SOLNEM","HELOCC","JUNDUD","VERVIR","PYCVIR","MONBRA","GL","Total B"
"374","","11.4","9.4","35.6","0","13.8","2.2","12.6","0","65.2","36.9","308.6","0.4","0","10.1","22.4","0","528.6"
"380","MH.75072.rep2","DESCAN","ASCSUL","SOLNEM","HELSTR","BROKAL","CXBLAN","LILMIC","SILTER","CASCOC","ASCVER","MAIRAC","PHYVIR","BAPBRA","DSMILL","AGATEN","GL","Total B"
"381","","4.3","0","57.6","3.5","0.6","65.4","0","16.8","0.3","0.7","0","60.8","0.8","0.6","0","28.5","239.9"
"390","ML.975885.rep2","RUDTRI","DALPUR","VERSTR","KOEMAC","SISANG","AGASCR","ARNPLA","PYCVIR","HEURIC","ROSBLA","AGANEP","SILINT","MONBRA","ZIZAPT","ASCHIR","GL","Total B"
"391","","4.6","0.4","0.3","1.5","12.7","50.4","2.7","82.5","3.9","32.3","35.8","2.9","20.1","28.7","0","71.8","350.6"
"399","HL.1338677.rep2","CAMROT","ASCSUL","DODMEA","OENPIL","MAIRAC","VIOPDF","HYPPYR","DSMILL","HELMOL","MONFIS","VERSTR","CXANNE","ERYYUC","HELHEL","RUEHUM","GL","Total B"
"400","","0","2.4","0","24.8","0","0","0.1","-0.1","3.2","61.1","0","78.5","31.3","58.5","0.1","11.9","271.8"
"403","MH.928535.rep2","HIEODO","PENHIR","DSMILL","KOEMAC","BROKAL","HEURIC","LILMIC","SENHEB","ALLCAN","SILTER","PANVIR","BAPBRA","HELMOL","DODMEA","VERMIS","GL","Total B"
"404","","4.7","0","0","28.5","0.1","76.1","0","2.9","0.2","25","5.9","0","345.7","0.1","0.5","9.6","499.3"
"407","ML.628076.rep2","POLREP","RUDSUB","PHLPIL","SCHSCO","SYMOOL","PYCPIL","SYMERI","CAMROT","VIOPDF","ELYCAN","CXANNE","OENPIL","POTARU","MONBRA","DALPUR","GL","Total B"
"408","","1.5","61.7","0","3.7","19.7","5.1","457.1","0","0","21.9","42.2","16.5","2.6","2","0","14.9","648.9"
